"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"GOBP_NEUTROPHIL_MIGRATION"	"GOBP_NEUTROPHIL_MIGRATION"	"GOBP_NEUTROPHIL_MIGRATION"	109	-0.731525083451287	-2.31637498644311	1e-10	7.7515625e-09	5.74013157894737e-09	1738	"tags=55%, list=12%, signal=49%"	"6279/83700/6367/6369/3672/54210/5293/6349/3554/1441/6368/57126/6358/1800/2529/3552/255231/1906/10344/2526/1236/3680/7042/6372/2919/64127/6364/6351/6352/5142/10562/4354/6348/2207/56833/6354/3689/6288/7060/3071/6347/719/728/2921/3553/6363/6373/6355/2920/6357/4283/3627/9353/6356/7130/10563/6366/1803/6374/6362"
"GOBP_GRANULOCYTE_MIGRATION"	"GOBP_GRANULOCYTE_MIGRATION"	"GOBP_GRANULOCYTE_MIGRATION"	132	-0.718468736606084	-2.29986084805708	1e-10	7.7515625e-09	5.74013157894737e-09	1738	"tags=54%, list=12%, signal=48%"	"6279/83700/6367/1435/6369/3672/54210/5293/6349/3554/1441/6368/57126/11314/6358/6278/1800/2529/3552/255231/5919/1906/10344/2526/1236/7857/3680/146433/7042/6372/2919/64127/7057/6504/6364/1436/6351/6352/1240/5142/301/10562/4354/6348/2207/56833/6354/3689/6288/7060/3071/6347/719/728/2921/3553/6363/6373/6355/2920/6357/4283/3627/9353/6356/7130/10563/6366/1803/6374/6362"
"GOBP_NEUTROPHIL_CHEMOTAXIS"	"GOBP_NEUTROPHIL_CHEMOTAXIS"	"GOBP_NEUTROPHIL_CHEMOTAXIS"	91	-0.74032471215553	-2.29752168572197	1e-10	7.7515625e-09	5.74013157894737e-09	1738	"tags=57%, list=12%, signal=51%"	"6279/83700/6367/6369/3672/54210/5293/6349/1441/6368/6358/1800/1906/10344/1236/3680/7042/6372/2919/64127/6364/6351/6352/5142/4354/6348/2207/6354/3689/6288/7060/3071/6347/719/728/2921/3553/6363/6373/6355/2920/6357/4283/3627/9353/6356/7130/10563/6366/1803/6374/6362"
"GOBP_GRANULOCYTE_CHEMOTAXIS"	"GOBP_GRANULOCYTE_CHEMOTAXIS"	"GOBP_GRANULOCYTE_CHEMOTAXIS"	112	-0.723050412910673	-2.28931736959233	1e-10	7.7515625e-09	5.74013157894737e-09	1738	"tags=55%, list=12%, signal=49%"	"6279/83700/6367/1435/6369/3672/54210/5293/6349/1441/6368/6358/6278/1800/5919/1906/10344/1236/7857/3680/146433/7042/6372/2919/64127/7057/6504/6364/1436/6351/6352/1240/5142/301/4354/6348/2207/6354/3689/6288/7060/3071/6347/719/728/2921/3553/6363/6373/6355/2920/6357/4283/3627/9353/6356/7130/10563/6366/1803/6374/6362"
"GOBP_COLLAGEN_FIBRIL_ORGANIZATION"	"GOBP_COLLAGEN_FIBRIL_ORGANIZATION"	"GOBP_COLLAGEN_FIBRIL_ORGANIZATION"	57	-0.777271951558406	-2.28867197904395	1e-10	7.7515625e-09	5.74013157894737e-09	1991	"tags=68%, list=14%, signal=59%"	"7093/2303/84171/80781/1280/649/4017/7373/5345/84695/7042/9508/140766/2331/7092/60681/4060/50509/4015/4921/7148/1303/7837/11117/1290/4320/1278/1289/1301/1277/1281/1545/165/9509/1311/81792/1805/26585/6423"
"GOBP_MONOCYTE_CHEMOTAXIS"	"GOBP_MONOCYTE_CHEMOTAXIS"	"GOBP_MONOCYTE_CHEMOTAXIS"	60	-0.743034158138236	-2.19768711947313	1e-10	7.7515625e-09	5.74013157894737e-09	1906	"tags=58%, list=13%, signal=51%"	"4067/3570/6367/6369/6349/6368/6358/6278/729230/10344/6364/2350/1511/199/6351/6352/6387/301/2358/6348/1230/56833/6354/6347/7941/6363/6355/6357/3627/9353/6356/3569/6366/6362/26585"
"GOBP_MYELOID_LEUKOCYTE_MIGRATION"	"GOBP_MYELOID_LEUKOCYTE_MIGRATION"	"GOBP_MYELOID_LEUKOCYTE_MIGRATION"	206	-0.654134432196683	-2.15920535682279	1e-10	7.7515625e-09	5.74013157894737e-09	1738	"tags=44%, list=12%, signal=39%"	"6279/83700/6367/1435/6369/3672/54210/5293/6349/4345/3554/1441/6368/57126/11314/1113/140885/6358/6278/1800/2529/3552/729230/4254/255231/5919/26228/1906/10344/2526/1236/7857/3680/146433/7042/6372/2919/64127/54209/7057/6504/6364/2350/1511/199/1436/6688/6351/6352/1240/6387/5142/301/2358/10562/4354/6348/2207/1230/56833/6354/3689/6288/7060/11117/3071/6347/719/728/2921/7941/3553/6363/6373/6355/2920/6357/4283/3627/9353/6356/7130/10563/3569/4920/6366/1803/6374/6362/26585"
"GOBP_COLLAGEN_METABOLIC_PROCESS"	"GOBP_COLLAGEN_METABOLIC_PROCESS"	"GOBP_COLLAGEN_METABOLIC_PROCESS"	76	-0.704473719098186	-2.14951258436814	1e-10	7.7515625e-09	5.74013157894737e-09	1459	"tags=45%, list=10%, signal=40%"	"409/4239/5118/8510/64386/5345/9902/4261/2149/7431/7043/9508/140766/5159/57333/5027/1513/4921/7148/11117/4320/8710/1278/1289/1277/3624/5653/9509/4316/4321/3569/4314/2191/4318"
"GOBP_RESPONSE_TO_CHEMOKINE"	"GOBP_RESPONSE_TO_CHEMOKINE"	"GOBP_RESPONSE_TO_CHEMOKINE"	83	-0.694186354237485	-2.14063635883317	1e-10	7.7515625e-09	5.74013157894737e-09	2452	"tags=61%, list=17%, signal=51%"	"1235/3577/1232/6376/7852/4067/7066/10019/6367/6369/6349/6368/10663/6358/729230/1906/2833/10344/1236/6372/2919/54209/1234/6364/1233/1237/643/6351/6352/1240/6387/4015/6348/1230/6354/11240/6347/2921/6363/6373/6355/2920/6357/4283/3627/9353/6356/10563/6366/6374/6362"
"GOBP_LEUKOCYTE_CHEMOTAXIS"	"GOBP_LEUKOCYTE_CHEMOTAXIS"	"GOBP_LEUKOCYTE_CHEMOTAXIS"	208	-0.633818085339637	-2.08982251904366	1e-10	7.7515625e-09	5.74013157894737e-09	2600	"tags=50%, list=18%, signal=42%"	"3958/23604/5294/2155/2841/1235/3577/1269/57580/6376/7409/80270/727/7852/7424/4067/3570/11151/6279/83700/6367/1435/6369/3672/54210/5293/6349/1441/2867/6368/4739/1113/6358/6278/1800/729230/9023/5919/26228/1906/10344/1236/7857/3680/146433/7042/6372/2919/64127/7057/1234/6504/2621/6364/2350/1511/643/199/1436/6688/6351/6352/1240/1880/6387/5142/301/2358/4354/6348/2207/1230/56833/6354/3689/6288/7060/11240/3071/6347/719/3586/728/2921/7941/3553/6363/6373/6355/2920/6357/4283/3627/9353/6356/7130/10563/3569/5764/6366/1803/6374/6362/26585"
